AccX,AccY,AccZ
0.008,-0.023,-9.857
0.02,-0.04,-9.883
0.01,-0.035,-9.888
0.044,-0.062,-9.858
0.044,-0.076,-9.871
0.004,0.005,-9.827
0.006,-0.011,-9.878
-0.012,0.023,-9.821
0.032,-0.021,-9.886
0.022,-0.015,-9.84
0.014,-0.048,-9.831
0.039,-0.069,-9.848
-0.008,0.005,-9.888
0.013,-0.019,-9.883
-0.016,-0.036,-9.861
0.002,0.01,-9.868
-0.001,-0.013,-9.887
0.009,-0.015,-9.858
0.01,-0.028,-9.856
0.033,-0.038,-9.89
-0.002,-0.025,-9.813
0.014,-0.012,-9.893
0.024,-0.034,-9.851
0.032,-0.054,-9.927
-0.023,0.012,-9.841
0.028,-0.032,-9.857
0.02,-0.032,-9.879
-0.011,0.013,-9.863
0.025,-0.024,-9.881
0.013,-0.036,-9.848
-0.003,-0.005,-9.858
0.027,-0.053,-9.923
0.032,-0.047,-9.892
0.026,-0.029,-9.858
0.007,-0.038,-9.836
0.049,-0.073,-9.869
0.048,-0.056,-9.849
0.009,0.017,-9.887
0.023,-0.07,-9.872
0.004,-0.016,-9.884
-0.001,-0.017,-9.877
0.018,-0.012,-9.831
0.028,-0.019,-9.871
0.018,-0.02,-9.825
0.032,-0.06,-9.811
0.015,-0.007,-9.876
-0.015,0.018,-9.904
0.007,-0.019,-9.854
-0.01,-0.004,-9.859
0.018,-0.009,-9.877
0.022,-0.039,-9.839
0.03,-0.04,-9.89
0.013,-0.049,-9.841
0.016,-0.02,-9.888
0.024,-0.056,-9.854
0.039,-0.066,-9.872
-0.012,0.013,-9.899
0.023,-0.011,-9.858
0.004,-0.008,-9.887
0.012,-0.027,-9.821
0.006,0.001,-9.855
0.037,-0.065,-9.838
0.013,0.001,-9.898
0.021,-0.023,-9.847
0.035,-0.082,-9.862
0.03,-0.018,-9.884
0.014,-0.05,-9.86
0.017,-0.027,-9.845
0.001,-0.011,-9.875
0.054,-0.086,-9.834
0,-0.025,-9.826
0.067,-0.094,-9.857
0.007,-0.021,-9.861
0.013,-0.006,-9.887
0.022,-0.023,-9.851
0.017,-0.005,-9.882
0.014,-0.017,-9.812
-0.022,0.03,-9.86
0.014,-0.045,-9.889
0.02,0.005,-9.86
0.059,-0.087,-9.841
0.036,-0.058,-9.904
0.013,-0.05,-9.828
0.043,-0.041,-9.845
0.012,-0.023,-9.859
0.042,-0.037,-9.881
0,-0.05,-9.862
0.015,-0.044,-9.877
0.011,-0.004,-9.824
0.007,-0.025,-9.888
0.038,-0.06,-9.837
0.054,-0.055,-9.86
0.002,-0.02,-9.881
0.023,-0.015,-9.863
0.027,-0.026,-9.883
0,-0.025,-9.867
0.022,-0.026,-9.837
-0.002,0.006,-9.893
0.003,-0.023,-9.884
0.02,-0.04,-9.848
0.023,-0.038,-9.882
0.031,-0.06,-9.84
0.025,-0.068,-9.864
0.029,-0.045,-9.857
0.046,-0.074,-9.858
0.012,-0.018,-9.864
0.025,-0.054,-9.861
0.034,-0.07,-9.906
-0.011,-0.026,-9.884
0.043,-0.059,-9.863
0.001,-0.016,-9.856
0.025,-0.022,-9.894
0.035,-0.055,-9.905
0.036,-0.063,-9.907
0.007,-0.018,-9.866
0.027,-0.024,-9.861
0.008,-0.021,-9.888
0.05,-0.044,-9.885
0.017,-0.046,-9.901
0.037,-0.04,-9.864
0.011,-0.042,-9.836
-0.006,0.015,-9.866
0.047,-0.066,-9.851
0.042,-0.044,-9.811
-0.001,-0.023,-9.901
0.005,-0.019,-9.863
-0.003,-0.008,-9.809
0.019,-0.036,-9.833
0.032,-0.058,-9.858
0.023,-0.019,-9.915
0.047,-0.092,-9.868
0.049,-0.059,-9.89
0.026,-0.084,-9.88
0.034,-0.05,-9.905
0.008,-0.012,-9.88
0.003,-0.013,-9.843
-0.02,0.007,-9.864
0.043,-0.082,-9.858
-0.021,0.019,-9.853
0.034,-0.055,-9.869
-0.016,-0.027,-9.843
0.024,-0.032,-9.849
0.023,-0.07,-9.9
-0.01,0.015,-9.879
0.009,-0.039,-9.877
-0.002,-0.018,-9.913
0.02,-0.06,-9.894
0.029,-0.043,-9.91
0.025,-0.037,-9.873
0.04,-0.05,-9.838
0.009,-0.06,-9.874
0.017,0.002,-9.911
0.004,0.005,-9.859
0.001,-0.009,-9.911
0.008,-0.032,-9.891
0.006,-0.03,-9.881
-0.001,0.007,-9.875
0.036,-0.039,-9.865
-0.018,0.016,-9.839
0.016,-0.033,-9.868
0.034,-0.061,-9.863
0.009,-0.02,-9.859
0.056,-0.078,-9.904
-0.005,-0.006,-9.803
0.01,-0.052,-9.816
0.021,0.006,-9.869
0.039,-0.032,-9.82
0.013,-0.018,-9.903
0.015,-0.011,-9.895
-0.011,0.002,-9.849
0.036,-0.06,-9.859
0.019,-0.041,-9.957
-0.012,0.008,-9.828
0.012,-0.021,-9.83
0.017,-0.031,-9.954
0.007,-0.012,-9.877
0.028,-0.058,-9.864
0.029,-0.044,-9.873
0.019,-0.039,-9.927
0.018,-0.027,-9.905
-0.015,0.009,-9.883
0.005,-0.016,-9.894
0.012,-0.042,-9.824
0.034,-0.029,-9.893
0.037,-0.087,-9.881
-0.013,-0.01,-9.937
0.024,-0.029,-9.816
0.032,-0.017,-9.834
-0.04,0.014,-9.879
-0.002,0.01,-9.875
-0.008,0.001,-9.896
-0.011,0.035,-9.878
0.004,-0.034,-9.93
0.068,-0.069,-9.828
0.032,-0.068,-9.86
0.013,-0.046,-9.91
0.012,-0.044,-9.913
0.034,-0.019,-9.889
-0.013,-0.033,-9.852
-0.029,0.039,-9.885
